0,1,2
97.14469719,69.59328198,404.6344715
81.77590078,5.737648097,181.4851077
55.85434242,70.32590168,321.773638
49.36654999,75.11404016,322.4654856
3.192702465,29.25629886,94.6188109
49.20078406,86.14443851,356.3480927
21.8828039,46.8415052,181.6537692
79.50986272,87.39735554,423.5577432
88.1538875,65.20564193,369.2292454
60.74385434,99.9576339,427.6058037
67.41558195,50.36830961,292.4718216
48.31811577,99.12895314,395.5298114
28.82997197,87.18494885,319.0313485
43.85374266,64.47363908,287.4281441
25.31369409,83.54529426,292.7689088
10.80772668,45.69556859,159.6633077
98.36574588,82.69739353,438.7989639
29.14690997,66.36510676,250.986309
65.1003019,33.3538835,231.7115079
24.64411349,39.54005274,163.3981608
37.55980488,1.345727842,83.48015514
88.16450624,95.15366257,466.2658058
13.83462084,25.4940482,100.8864303
64.41084375,77.25983813,365.6410481
68.9259918,97.4536008,426.1400155
39.48844224,50.85612819,235.5323895
52.46317768,59.77650969,283.2916403
48.48478698,66.97035422,298.5814404
8.062087814,98.24260014,309.2341088
32.73188771,18.85353553,129.610139
11.6523788,66.26451174,224.1505421
13.73035353,70.47250913,235.3056656
8.185551765,41.85198942,153.4841895
53.60987615,94.56012164,394.9394443
95.36860989,47.29550696,336.1267389
87.33360921,93.80393433,449.363352
66.35761109,81.84755128,387.0148165
19.75471753,65.52330092,240.3894416
21.13344045,47.43718199,177.1482806
22.37386481,25.95562754,119.611258
93.99040405,0.12789052,196.7161667
86.7201981,18.41376679,236.2608084
98.99837299,60.23126569,384.3813447
3.593965644,96.25221732,293.237183
15.10236337,92.55690357,304.8908828
97.83414077,2.023908104,201.2935984
19.93821969,46.77827346,170.610093
30.37351114,58.77752516,242.3734842
73.29288315,67.66962776,353.0829913
52.23090088,81.90244825,348.7256886
86.42957611,66.5402276,365.959971
93.40080214,18.07524594,235.4723816
13.21346006,91.48885878,300.6068783
4.593462704,46.33593152,145.8187453
15.66929158,35.543744,138.8803347
52.95935977,68.72020961,317.1637077
56.81752123,47.57273192,254.9036313
51.13354308,78.04216746,334.5843335
7.862164715,17.72908178,69.35558881
54.6986037,92.74458414,386.8599372
86.39906301,41.88869459,294.8717136
11.94750602,42.96138674,156.7542195
70.35840106,83.70623451,391.8061353
29.02236633,84.32778308,319.3104629
42.75947991,97.49332608,376.2915895
96.21565644,25.83428258,280.6170439
53.22772766,27.90550857,194.4304651
30.36098967,0.939644215,69.64886318
83.27756539,73.17934857,384.597185
30.18769248,7.146538599,89.5390084
11.78841846,51.69776084,181.5506828
18.29242401,61.97797605,224.7733829
96.71266769,9.029101513,219.5670937
31.01273869,78.28338246,298.4902165
11.39726075,61.72869324,199.9440447
17.39255579,4.241140863,43.91569235
72.18269373,34.53907217,256.0683782
73.98002079,3.716493438,159.3725806
94.49305835,88.41719702,447.1327036
84.56282073,20.24116219,233.0788296
51.74247397,11.00974796,131.0701796
53.7485904,60.0251023,298.8143327
85.05083476,95.73699695,451.803523
46.77725045,90.20220624,368.366436
49.75843417,52.83449436,254.706774
24.1192565,42.10281078,168.3084328
27.20157645,29.97874929,146.34226
7.009596168,55.87605839,176.810149
97.64694967,8.147625127,219.1602804
1.382982509,84.94408692,252.905653
22.32353035,27.51507504,127.5704788
45.04540623,93.52040222,375.8223403
40.16399147,0.161699235,80.38901933
53.18273979,8.170316162,142.7181831
46.45677916,82.00017091,336.8761544
77.13030069,95.18875945,438.4605861
68.60060757,72.57118072,355.9002869
41.69388712,69.24112597,284.8346367
4.142669398,52.25472638,168.0344009
17.93020121,94.52059195,320.2595296
